round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
5917,0,2.05,159.4,140.16,0,0,0,17,1
5918,2,2.06,521.0,142.73,2,0,0,19,1
5919,4,2.08,300.4,143.77,4,0,0,12,0
5920,2,2.06,223.4,144.43,2,0,0,11,1
5921,7,2.1,377.9,144.64,2,1,0,23,0
5922,1,2.07,28.5,142.77,1,0,0,6,0
5923,0,2.07,-58.1,142.82,0,0,1,15,0
5924,2,2.07,484.7,144.73,2,0,0,28,1
5925,0,2.06,99.1,144.13,0,0,0,15,0
5926,1,2.05,186.6,144.86,1,0,0,18,0
5927,0,2.05,58.1,144.68,0,0,0,7,0
5928,1,2.05,-208.8,142.53,1,0,1,3,0
5929,2,2.06,393.2,144.75,2,0,0,24,0
5930,1,2.05,82.4,143.84,1,0,0,9,0
5931,1,2.04,-32.2,142.46,1,0,1,7,0
5932,2,2.04,295.5,143.52,2,0,0,23,0
5933,6,2.06,350.4,145.63,1,1,0,12,1
5934,1,2.04,92.5,144.5,1,0,0,12,0
5935,1,2.04,28.7,143.29,1,0,1,10,0
5936,2,2.0,206.9,143.08,2,0,0,13,0
5937,3,2.0,65.3,141.07,3,0,0,10,1
5938,1,2.01,120.2,141.93,1,0,0,12,0
5939,2,2.02,19.0,142.27,2,0,0,12,0
5940,3,2.03,512.6,144.24,3,0,0,21,1
5941,1,2.02,-9.3,143.63,1,0,1,13,0
5942,3,2.02,294.0,144.97,3,0,0,21,1
5943,2,2.02,248.6,145.68,2,0,1,18,0
5944,1,2.02,348.0,147.17,1,0,0,19,1
5945,0,2.01,-33.2,146.17,0,0,1,6,0
5946,0,2.01,-78.8,146.37,0,0,0,12,1
5947,4,2.02,418.5,147.73,4,0,0,41,1
5948,1,2.01,293.0,146.84,1,0,0,23,0
5949,2,2.01,212.1,145.73,2,0,0,11,0
5950,5,2.03,326.1,145.43,5,0,0,18,0
5951,4,2.04,290.1,145.81,4,0,0,12,0
5952,3,2.05,382.2,147.1,3,0,0,16,1
5953,3,2.06,-54.9,145.49,3,0,1,7,0
5954,2,2.06,375.3,145.9,2,0,0,23,0
5955,3,2.07,268.0,146.44,3,0,0,19,0
5956,0,2.07,49.8,145.72,0,0,0,6,0
5957,2,2.08,125.9,146.75,2,0,1,16,0
