round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
1,2,2.0,195.5,195.5,2,0,0,16,1
2,1,1.5,56.8,126.15,1,0,0,6,0
3,0,1.0,75.6,109.3,0,0,0,12,0
4,2,1.25,8.6,84.12,2,0,0,4,0
5,0,1.0,8.4,68.98,0,0,0,28,1
6,0,0.83,64.8,68.28,0,0,0,12,0
7,0,0.71,-30.3,54.2,0,0,0,5,0
8,0,0.62,61.7,55.14,0,0,0,7,0
9,1,0.67,106.6,60.86,1,0,0,12,0
10,1,0.7,83.3,63.1,1,0,0,16,0
11,1,0.73,21.2,59.29,1,0,0,9,0
12,5,1.08,-132.6,43.3,0,1,1,4,0
13,1,1.08,16.3,41.22,1,0,1,8,0
14,0,1.0,-145.8,27.86,0,0,0,5,0
15,1,1.0,61.9,30.13,1,0,0,18,1
16,0,0.94,-223.5,14.28,0,0,0,5,0
17,0,0.88,-52.4,10.36,0,0,0,6,0
18,2,0.94,98.5,15.26,2,0,0,7,0
19,3,1.05,192.8,24.6,3,0,0,13,0
20,0,1.0,-55.0,20.62,0,0,1,9,0
21,1,1.0,227.6,30.48,1,0,0,14,0
22,0,0.95,-238.6,18.25,0,0,0,9,1
23,1,0.96,46.0,19.45,1,0,0,12,0
24,0,0.92,-39.3,17.0,0,0,1,12,0
25,3,1.0,84.8,19.72,3,0,0,13,1
26,1,1.0,138.1,24.27,1,0,0,9,0
27,2,1.04,42.4,24.94,2,0,1,8,0
28,2,1.07,12.4,24.49,2,0,1,12,0
29,1,1.07,-0.3,23.64,1,0,1,8,0
30,1,1.07,-62.8,20.76,1,0,1,11,0
31,1,1.06,29.1,21.03,1,0,0,15,0
32,0,1.03,4.8,20.52,0,0,0,13,1
33,0,1.0,189.9,25.65,0,0,0,16,1
34,2,1.03,57.9,26.6,2,0,1,15,0
35,0,1.0,-135.2,21.98,0,0,0,11,0
36,3,1.06,199.6,26.91,3,0,0,24,0
37,1,1.05,-116.2,23.04,1,0,0,12,1
38,1,1.05,-123.5,19.19,1,0,1,5,0
39,6,1.18,59.2,20.21,1,1,0,13,1
40,0,1.15,-100.9,17.19,0,0,0,9,0
41,0,1.12,-106.9,14.16,0,0,1,10,0
42,0,1.1,72.6,15.55,0,0,0,12,0
43,0,1.07,-10.9,14.93,0,0,0,12,0
44,0,1.05,-9.6,14.38,0,0,0,6,0
45,1,1.04,108.9,16.48,1,0,0,7,0
46,1,1.04,-76.3,14.46,1,0,1,9,0
47,1,1.04,4.5,14.25,1,0,1,11,0
48,1,1.04,-22.1,13.49,1,0,1,13,0
49,1,1.04,-80.7,11.57,1,0,0,7,0
50,0,1.02,-80.0,9.74,0,0,1,7,0
51,2,1.04,90.5,11.32,2,0,0,8,0
52,0,1.02,-21.7,10.69,0,0,0,6,0
53,1,1.02,-35.6,9.81,1,0,0,4,0
54,1,1.02,73.1,10.99,1,0,0,7,0
55,0,1.0,-61.8,9.66,0,0,0,7,1
56,0,0.98,-20.9,9.12,0,0,0,5,0
57,1,0.98,-95.5,7.28,1,0,1,6,0
58,1,0.98,274.3,11.88,1,0,0,19,1
59,0,0.97,52.9,12.58,0,0,0,11,0
60,6,1.05,201.6,15.73,1,1,0,14,0
61,0,1.03,9.4,15.63,0,0,0,5,0
62,8,1.15,105.3,17.07,3,1,1,11,0
63,1,1.14,91.2,18.25,1,0,0,12,0
64,0,1.12,38.9,18.57,0,0,0,14,0
65,2,1.14,17.4,18.55,2,0,0,10,0
66,1,1.14,-44.6,17.6,1,0,1,6,0
67,2,1.15,18.4,17.61,2,0,0,7,0
68,1,1.15,-4.6,17.28,1,0,0,7,0
69,1,1.14,52.7,17.8,1,0,0,14,0
70,1,1.14,-40.8,16.96,1,0,1,5,0
71,1,1.14,-78.9,15.61,1,0,1,10,0
72,1,1.14,74.8,16.43,1,0,0,14,1
73,1,1.14,-35.3,15.72,1,0,0,10,0
74,2,1.15,-34.0,15.05,2,0,1,8,0
75,0,1.13,-70.9,13.9,0,0,1,9,0
76,0,1.12,-31.2,13.31,0,0,0,3,0
77,0,1.1,-111.6,11.69,0,0,1,9,0
78,1,1.1,66.6,12.39,1,0,0,12,1
79,0,1.09,66.1,13.07,0,0,0,6,0
80,5,1.14,250.1,16.04,5,0,0,16,1
81,0,1.12,-59.0,15.11,0,0,1,9,0
82,1,1.12,-209.6,12.37,1,0,1,4,0
83,0,1.11,25.6,12.53,0,0,1,13,0
84,1,1.11,14.2,12.55,1,0,0,9,0
85,0,1.09,15.8,12.59,0,0,0,12,0
86,0,1.08,37.8,12.88,0,0,0,15,0
87,0,1.07,2.5,12.76,0,0,0,14,0
88,0,1.06,-134.0,11.09,0,0,1,2,0
89,1,1.06,125.2,12.37,1,0,0,15,0
90,0,1.04,-13.1,12.09,0,0,0,14,0
91,0,1.03,-102.1,10.84,0,0,0,17,1
92,1,1.03,-12.1,10.59,1,0,0,14,1
93,0,1.02,-66.5,9.76,0,0,0,12,1
94,1,1.02,55.7,10.25,1,0,0,9,1
95,0,1.01,71.2,10.89,0,0,0,12,0
96,5,1.05,33.0,11.12,0,1,0,9,0
97,4,1.08,107.9,12.12,4,0,0,18,1
98,1,1.08,84.0,12.85,1,0,1,7,0
99,1,1.08,82.2,13.55,1,0,0,18,0
100,2,1.09,166.4,15.08,2,0,0,9,0
101,2,1.1,115.3,16.07,2,0,0,17,0
102,2,1.11,25.5,16.16,2,0,1,11,0
103,0,1.1,-154.6,14.51,0,0,1,6,0
104,5,1.13,74.8,15.09,0,1,0,8,0
105,0,1.12,39.5,15.32,0,0,0,11,0
106,1,1.12,-54.7,14.66,1,0,0,8,0
107,0,1.11,90.7,15.37,0,0,0,13,0
108,1,1.11,47.7,15.67,1,0,1,15,0
109,1,1.11,41.9,15.91,1,0,0,11,0
110,5,1.15,-75.5,15.08,0,1,1,6,0
111,0,1.14,-148.7,13.6,0,0,1,5,0
112,0,1.12,222.9,15.47,0,0,0,13,0
113,2,1.13,7.4,15.4,2,0,1,13,0
114,2,1.14,188.4,16.92,2,0,0,19,1
115,0,1.13,-25.9,16.54,0,0,0,21,1
116,4,1.16,85.2,17.14,4,0,1,11,0
117,2,1.16,-6.6,16.93,2,1,1,6,0
118,2,1.17,96.5,17.61,2,0,0,13,0
119,6,1.21,98.0,18.28,1,1,0,7,0
120,0,1.2,-29.2,17.89,0,0,0,4,0
121,0,1.19,41.3,18.08,0,0,0,11,0
122,0,1.18,15.1,18.06,0,0,0,16,1
123,0,1.17,54.1,18.35,0,0,0,14,0
124,1,1.17,-31.9,17.94,1,0,1,8,0
125,2,1.18,-1.1,17.79,2,0,0,15,1
126,0,1.17,32.2,17.91,0,0,0,13,0
127,1,1.17,60.0,18.24,1,0,0,17,0
128,0,1.16,-204.1,16.5,0,0,0,2,0
129,0,1.15,-132.5,15.35,0,0,1,10,0
130,0,1.14,101.9,16.01,0,0,0,15,0
131,0,1.13,-55.6,15.46,0,0,0,5,0
132,2,1.14,173.0,16.66,2,0,0,13,0
133,6,1.17,203.6,18.06,1,1,0,16,1
134,0,1.16,-95.6,17.22,0,0,1,11,0
135,2,1.17,4.3,17.12,2,0,0,9,0
136,0,1.16,-81.6,16.39,0,0,0,9,0
137,0,1.15,106.7,17.05,0,0,0,20,0
138,1,1.15,58.2,17.35,1,0,0,14,0
139,2,1.16,-5.5,17.19,2,0,1,8,0
140,0,1.15,-78.4,16.5,0,0,0,4,0
141,1,1.15,38.0,16.66,1,0,0,13,0
142,7,1.19,391.0,19.29,2,1,0,18,1
143,0,1.18,151.8,20.22,0,0,0,10,1
144,0,1.17,-32.8,19.85,0,0,0,13,0
145,2,1.18,37.3,19.97,2,0,0,20,1
146,1,1.18,-6.8,19.79,1,0,1,11,0
147,2,1.18,111.0,20.41,2,0,0,13,0
148,7,1.22,148.2,21.27,2,1,0,11,1
149,1,1.22,123.3,21.96,1,0,0,12,0
150,0,1.21,24.2,21.97,0,0,0,12,0
151,1,1.21,118.8,22.61,1,0,0,16,0
152,1,1.21,135.2,23.35,1,0,0,15,0
153,0,1.2,-86.4,22.64,0,0,1,4,0
154,2,1.21,93.6,23.1,2,0,0,8,0
155,1,1.21,-55.6,22.59,1,0,0,15,1
156,1,1.21,-13.2,22.36,1,0,1,11,0
157,0,1.2,-86.7,21.67,0,0,1,12,0
158,1,1.2,171.3,22.61,1,0,0,19,0
159,0,1.19,1.0,22.48,0,0,0,7,0
160,1,1.19,-24.9,22.18,1,0,1,9,0
161,1,1.19,-56.4,21.69,1,0,0,10,0
162,0,1.18,-32.5,21.36,0,0,0,7,0
163,0,1.17,-284.3,19.48,0,0,1,4,0
164,1,1.17,139.9,20.22,1,0,0,13,0
165,0,1.16,-40.0,19.85,0,0,0,4,0
166,1,1.16,-4.6,19.7,1,0,0,17,0
167,0,1.16,-148.7,18.7,0,0,0,12,1
168,7,1.19,159.4,19.53,2,1,0,23,1
169,2,1.2,79.5,19.89,2,0,0,14,0
170,1,1.19,16.0,19.87,1,0,0,5,0
171,0,1.19,-64.2,19.37,0,0,0,5,0
172,0,1.18,-92.1,18.73,0,0,1,10,0
173,0,1.17,-38.0,18.4,0,0,0,11,1
174,0,1.17,-51.0,18.0,0,0,1,12,0
175,0,1.16,-27.9,17.74,0,0,0,9,0
176,0,1.15,-114.1,16.99,0,0,0,6,1
177,1,1.15,2.8,16.91,1,0,0,15,0
178,1,1.15,65.6,17.18,1,0,0,10,1
179,0,1.15,-220.6,15.85,0,0,1,6,0
180,1,1.14,87.3,16.25,1,0,0,7,0
181,0,1.14,71.2,16.55,0,0,0,12,0
182,0,1.13,81.1,16.91,0,0,0,14,0
183,0,1.13,-72.5,16.42,0,0,1,5,0
184,0,1.12,5.3,16.36,0,0,0,13,0
185,0,1.11,41.1,16.49,0,0,0,7,0
186,1,1.11,26.6,16.55,1,0,0,7,0
187,1,1.11,72.6,16.85,1,0,0,9,0
188,2,1.12,63.7,17.1,2,0,0,16,1
189,0,1.11,35.9,17.2,0,0,0,9,0
190,5,1.13,41.7,17.32,0,1,0,13,0
191,1,1.13,-194.7,16.21,1,0,1,14,0
192,1,1.13,-14.0,16.06,1,0,0,9,0
193,1,1.13,0.1,15.97,1,0,0,5,0
194,1,1.13,15.4,15.97,1,0,0,17,0
195,1,1.13,95.3,16.38,1,0,0,11,0
196,5,1.15,-61.9,15.98,0,1,1,4,0
197,0,1.14,21.5,16.01,0,0,0,11,0
198,0,1.14,-50.3,15.67,0,0,0,5,0
199,1,1.14,-28.2,15.45,1,0,0,14,1
200,1,1.14,14.3,15.45,1,0,1,13,0
201,0,1.12,0.6,14.47,0,0,1,10,0
202,0,1.12,7.2,14.22,0,0,0,15,0
203,0,1.12,-44.2,13.62,0,0,0,5,0
204,0,1.11,-62.1,13.27,0,0,0,8,0
205,0,1.11,-41.0,13.02,0,0,0,8,0
206,2,1.12,60.0,13.0,2,0,0,10,0
207,2,1.13,178.3,14.04,2,0,0,17,0
208,2,1.14,-90.2,13.28,2,0,0,9,0
209,0,1.14,54.3,13.02,0,0,0,14,0
210,1,1.14,-37.4,12.42,1,0,0,16,1
211,2,1.14,45.0,12.54,2,0,0,14,1
212,1,1.12,54.0,13.47,1,0,0,9,0
213,0,1.11,25.5,13.52,0,0,0,12,0
214,0,1.11,-106.9,13.71,0,0,0,6,0
215,1,1.11,130.7,14.06,1,0,0,15,0
216,2,1.12,75.7,15.55,2,0,0,14,0
217,6,1.16,119.0,16.41,1,1,0,23,1
218,0,1.15,-164.8,15.09,0,0,0,5,0
219,2,1.14,87.7,14.57,2,0,0,7,0
220,1,1.15,189.2,15.79,1,0,0,17,0
221,1,1.15,0.1,14.65,1,0,0,4,0
222,0,1.15,-76.0,15.46,0,0,1,6,0
223,0,1.14,-48.9,14.99,0,0,0,9,1
224,0,1.14,91.0,15.64,0,0,0,15,1
225,0,1.12,-72.9,14.85,0,0,1,7,0
226,0,1.12,110.7,14.71,0,0,0,15,1
227,0,1.11,-20.1,14.4,0,0,0,5,0
228,2,1.11,71.7,14.7,2,0,0,6,0
229,1,1.11,123.5,15.32,1,0,0,11,0
230,0,1.1,110.2,16.18,0,0,0,14,1
231,1,1.1,4.8,16.06,1,1,1,7,0
232,1,1.11,143.4,16.75,1,0,0,14,0
233,0,1.11,-51.1,15.55,0,0,1,13,0
234,0,1.1,-167.7,14.42,0,0,1,6,0
235,1,1.1,-141.9,14.39,1,0,1,5,0
236,2,1.1,73.5,13.76,2,0,0,16,1
237,7,1.13,105.7,14.87,2,1,0,5,0
238,0,1.12,-71.0,15.13,0,0,1,13,0
239,0,1.09,47.3,15.07,0,0,0,10,0
240,2,1.1,136.5,16.26,2,0,0,9,1
241,2,1.11,67.2,17.13,2,0,0,19,0
242,0,1.11,-88.9,16.32,0,0,1,8,0
243,2,1.12,32.8,16.54,2,0,0,9,0
244,0,1.12,-63.0,16.27,0,0,0,12,0
245,0,1.12,3.2,15.74,0,0,0,7,0
246,0,1.11,-128.7,15.48,0,0,1,6,0
247,3,1.12,293.5,16.93,3,0,0,22,1
248,2,1.13,75.3,17.41,2,0,0,6,0
249,1,1.13,15.0,17.89,1,0,0,9,0
250,5,1.16,262.3,19.6,0,1,0,18,1
251,1,1.15,92.0,19.61,1,0,0,12,0
252,0,1.15,91.4,20.18,0,0,0,13,0
253,0,1.15,-39.8,20.15,0,0,0,9,0
254,0,1.14,18.0,19.88,0,0,0,7,0
255,0,1.14,-80.8,19.78,0,0,1,12,0
256,1,1.15,39.4,20.09,1,0,0,9,1
257,0,1.14,-20.1,20.46,0,0,0,2,0
258,0,1.14,85.1,19.52,0,0,0,8,0
259,1,1.14,47.6,19.49,1,0,1,7,0
260,0,1.11,-142.8,17.77,0,0,1,9,0
261,2,1.12,102.7,18.23,2,0,1,15,0
262,2,1.09,7.3,17.74,2,0,1,13,0
263,1,1.09,-119.5,16.69,1,0,1,10,0
264,1,1.09,163.1,17.31,1,0,0,10,0
265,3,1.1,110.5,17.78,3,0,0,6,0
266,3,1.11,107.0,18.54,3,0,0,19,0
267,0,1.1,83.5,18.86,0,0,0,11,0
268,2,1.1,61.1,19.19,2,0,0,11,0
269,0,1.1,88.0,19.37,0,0,0,9,0
270,2,1.1,56.2,19.85,2,0,0,17,0
271,1,1.1,34.3,20.42,1,0,1,10,0
272,3,1.11,130.1,20.69,3,0,1,11,0
273,2,1.12,-124.4,20.25,2,0,0,10,1
274,5,1.14,268.0,21.76,0,1,0,18,1
275,2,1.15,67.1,22.45,2,0,0,10,0
276,2,1.16,153.6,23.37,2,0,0,11,0
277,6,1.19,235.2,25.11,1,1,0,20,1
278,2,1.19,36.4,24.95,2,0,1,3,0
279,11,1.25,192.2,25.59,1,2,0,19,1
280,0,1.22,-39.7,24.14,0,0,0,14,0
281,1,1.23,24.6,24.55,1,0,0,11,0
282,1,1.23,-18.7,25.51,1,0,1,12,0
283,1,1.23,55.5,25.66,1,0,0,5,0
284,2,1.24,-238.1,24.4,2,0,0,7,0
285,0,1.24,-101.3,23.81,0,0,1,12,0
286,1,1.24,-6.2,23.59,1,0,0,16,1
287,6,1.27,147.8,24.32,1,1,0,18,1
288,0,1.27,74.9,25.36,0,0,0,9,1
289,0,1.26,-62.6,24.42,0,0,0,8,0
290,0,1.26,-141.5,23.78,0,0,1,5,0
291,1,1.27,15.9,24.37,1,0,0,8,0
292,0,1.26,2.1,24.44,0,0,0,6,0
293,0,1.26,-13.6,24.71,0,0,0,8,0
294,1,1.26,72.0,24.79,1,0,0,8,0
295,0,1.26,-69.3,24.09,0,0,1,9,0
296,0,1.24,-9.5,23.87,0,0,1,11,0
297,1,1.23,23.3,23.45,1,0,0,6,0
298,1,1.23,19.4,23.13,1,0,0,9,0
299,3,1.24,119.7,23.31,3,0,0,11,0
300,1,1.23,43.6,22.7,1,0,0,8,0
301,7,1.25,190.8,23.08,2,1,0,14,0
302,1,1.25,69.4,23.3,1,0,0,8,0
303,1,1.25,27.7,24.21,1,0,1,10,0
304,0,1.23,-27.8,23.7,0,0,0,4,0
305,6,1.26,90.1,23.95,1,1,0,4,0
306,3,1.27,112.5,24.78,3,0,0,7,0
307,1,1.27,30.7,24.48,1,0,0,10,0
308,0,1.27,-41.9,24.04,0,0,1,6,0
309,0,1.26,-59.5,23.53,0,0,1,10,0
310,1,1.25,67.0,24.24,1,0,1,12,0
311,1,1.25,-53.6,24.72,1,0,1,6,0
312,0,1.25,96.5,24.09,0,0,0,15,0
313,1,1.25,168.5,24.89,1,0,0,17,1
314,1,1.24,-80.2,23.55,1,0,0,9,0
315,0,1.24,35.3,23.85,0,0,0,9,0
316,0,1.22,-128.9,22.78,0,0,1,9,0
317,2,1.22,39.2,23.01,2,0,0,21,1
318,0,1.21,35.3,22.71,0,0,0,17,0
319,1,1.19,128.6,22.86,1,0,0,20,1
320,0,1.19,-89.0,22.56,0,0,0,3,0
321,0,1.19,-19.1,22.26,0,0,0,5,0
322,1,1.19,48.8,22.43,1,0,0,14,0
323,0,1.19,30.0,22.31,0,0,0,12,1
324,1,1.19,34.4,22.64,1,0,0,6,1
325,1,1.19,123.9,23.26,1,0,0,13,0
326,0,1.19,-105.4,22.58,0,0,1,12,0
327,0,1.18,-37.8,22.09,0,0,0,10,0
328,2,1.19,170.4,23.96,2,0,0,13,0
329,1,1.2,82.1,25.03,1,0,0,14,1
330,1,1.2,103.5,25.04,1,0,0,18,0
331,1,1.21,104.6,25.84,1,0,0,17,0
332,0,1.2,-79.4,24.58,0,0,0,5,0
333,1,1.17,169.7,24.41,1,0,0,15,0
334,1,1.18,-73.2,24.52,1,0,1,6,0
335,0,1.17,36.8,24.68,0,0,0,8,0
336,5,1.19,25.0,25.22,0,1,1,10,0
337,0,1.19,108.3,25.22,0,0,0,13,1
338,1,1.19,84.6,25.36,1,0,0,10,0
339,1,1.19,119.5,25.98,1,0,0,11,0
340,0,1.19,-88.0,25.93,0,0,0,8,0
341,1,1.19,-135.3,25.07,1,0,1,8,0
342,0,1.15,-25.9,22.98,0,0,1,10,0
343,1,1.16,40.9,22.43,1,0,0,9,0
344,0,1.16,-85.9,22.16,0,0,0,5,0
345,0,1.15,-92.1,21.52,0,0,1,5,0
346,8,1.18,155.1,22.33,3,1,0,15,0
347,1,1.18,-3.1,21.75,1,0,0,5,0
348,1,1.15,152.4,21.78,1,0,0,12,1
349,0,1.14,-22.6,21.05,0,0,1,10,0
350,1,1.15,235.4,22.1,1,0,0,13,0
351,0,1.14,-65.9,21.18,0,0,0,8,1
352,0,1.14,5.0,20.53,0,0,0,10,0
353,1,1.14,97.5,21.45,1,0,0,13,0
354,0,1.13,21.3,21.09,0,0,0,13,0
355,1,1.13,73.0,21.73,1,0,0,8,0
356,3,1.14,132.6,22.46,3,0,0,10,0
357,0,1.14,30.0,23.04,0,0,0,10,0
358,0,1.14,-109.5,21.64,0,0,1,10,0
359,1,1.14,50.5,21.88,1,0,0,12,0
360,0,1.14,1.8,22.02,0,0,0,12,0
361,0,1.13,156.5,23.08,0,0,0,18,0
362,0,1.13,-33.9,23.08,0,0,1,6,0
363,0,1.13,-50.5,24.25,0,0,0,5,0
364,1,1.13,67.9,23.89,1,0,1,3,0
365,1,1.14,54.2,24.36,1,0,0,9,0
366,0,1.13,-49.2,24.13,0,0,0,2,0
367,1,1.14,22.9,24.99,1,0,0,10,1
368,1,1.1,12.0,24.25,1,0,0,15,1
369,0,1.09,-58.9,23.56,0,0,1,12,0
370,0,1.09,-77.7,23.09,0,0,0,8,1
371,0,1.09,-8.9,23.37,0,0,0,9,0
372,3,1.1,96.4,24.31,3,0,0,10,0
373,0,1.1,-22.2,24.39,0,0,0,9,0
374,0,1.1,-89.9,24.2,0,0,0,22,1
375,1,1.11,-217.2,23.25,1,0,0,6,0
376,0,1.11,-145.3,23.09,0,0,0,8,0
377,1,1.11,150.8,23.83,1,0,0,16,0
378,1,1.11,36.3,23.69,1,0,0,7,0
379,0,1.11,-71.2,24.43,0,0,1,12,0
380,0,1.1,85.2,24.42,0,0,0,4,1
381,2,1.11,124.1,24.69,2,0,0,20,1
382,1,1.12,17.2,24.37,1,0,0,7,0
383,1,1.12,-136.7,24.05,1,0,0,4,0
384,0,1.12,87.4,24.46,0,0,1,15,0
385,7,1.16,231.2,25.41,2,1,1,15,0
386,6,1.19,293.9,26.75,1,1,0,10,1
387,1,1.19,-32.7,26.22,1,0,0,7,0
388,0,1.18,1.1,25.91,0,0,0,10,0
389,1,1.18,-91.6,25.27,1,0,1,9,0
390,0,1.16,-29.1,24.91,0,0,0,11,0
391,1,1.16,36.9,26.07,1,0,0,8,0
392,0,1.15,-65.5,25.82,0,0,1,7,0
393,1,1.15,-61.4,25.51,1,0,0,10,0
394,1,1.15,-64.3,25.11,1,0,1,4,0
395,1,1.15,226.9,25.77,1,0,0,18,0
396,1,1.13,45.9,26.31,1,0,0,11,0
397,0,1.13,-4.7,26.18,0,0,0,7,0
398,3,1.15,-56.1,26.15,3,0,0,6,0
399,2,1.15,-112.7,25.72,2,0,1,9,0
400,0,1.15,43.1,25.87,0,0,0,14,1
401,0,1.15,112.0,26.42,0,0,0,17,1
402,7,1.18,42.1,26.6,2,1,0,9,0
403,0,1.18,-185.3,25.89,0,0,0,13,1
404,0,1.18,2.7,26.22,0,0,0,10,0
405,0,1.18,-53.5,26.16,0,0,0,5,0
406,4,1.19,147.8,26.59,4,0,1,10,0
407,3,1.2,162.1,26.51,3,0,0,9,0
408,0,1.19,-77.6,26.58,0,0,0,6,0
409,0,1.19,-117.4,25.72,0,0,1,8,0
410,0,1.18,-17.7,25.82,0,0,0,8,0
411,0,1.17,88.8,26.04,0,0,0,16,1
412,1,1.17,50.1,26.02,1,0,0,8,0
413,2,1.18,78.5,26.28,2,0,0,12,0
414,0,1.18,-25.3,26.69,0,0,1,11,0
415,0,1.18,47.0,26.27,0,0,1,10,0
416,0,1.17,-16.8,25.81,0,0,0,10,0
417,0,1.14,24.3,25.33,0,0,1,8,0
418,0,1.14,-124.9,25.53,0,0,1,9,0
419,0,1.12,5.4,25.12,0,1,1,6,0
420,0,1.12,13.0,24.24,0,0,0,8,0
421,9,1.16,138.6,24.93,4,1,0,15,1
422,0,1.16,32.3,25.48,0,0,0,14,0
423,3,1.18,157.1,26.51,3,0,0,12,1
424,0,1.18,-25.0,25.93,0,0,0,11,0
425,1,1.18,-86.9,25.86,1,0,1,5,0
426,1,1.19,90.0,25.75,1,0,0,16,1
427,2,1.2,176.0,26.73,2,0,0,14,0
428,1,1.19,0.7,26.38,1,0,0,7,0
429,5,1.21,128.1,26.4,0,1,0,5,0
430,0,1.21,-26.5,25.72,0,0,0,7,0
431,1,1.21,-140.6,24.99,1,0,1,6,0
432,1,1.21,98.5,24.77,1,0,0,11,0
433,1,1.22,145.9,25.75,1,0,1,17,0
434,0,1.22,188.4,27.53,0,0,0,7,1
435,0,1.21,27.9,28.38,0,0,0,6,0
436,1,1.21,-23.9,27.89,1,0,1,8,0
437,2,1.18,9.4,27.41,2,0,1,8,0
438,0,1.18,-72.2,27.41,0,0,0,3,0
439,2,1.19,50.5,27.42,2,0,0,7,1
440,3,1.2,109.7,27.29,3,0,1,15,0
441,0,1.19,-151.1,26.2,0,0,0,4,0
442,5,1.21,116.0,27.22,0,1,0,10,0
443,1,1.21,95.2,27.53,1,0,0,10,0
444,7,1.24,285.4,29.27,2,1,0,11,0
445,0,1.24,-6.5,29.23,0,0,0,4,0
446,0,1.24,-13.6,29.8,0,0,0,9,0
447,7,1.26,104.6,28.86,2,1,0,9,1
448,1,1.25,-92.2,28.02,1,0,0,5,1
449,1,1.25,-12.8,27.88,1,0,1,13,0
450,0,1.23,-49.0,26.32,0,0,1,14,0
451,4,1.25,252.4,27.13,4,0,0,19,0
452,2,1.25,13.9,26.74,2,0,0,6,0
453,1,1.26,-42.2,26.73,1,0,0,11,1
454,0,1.26,27.4,26.77,0,0,0,6,0
455,0,1.26,95.7,27.66,0,0,0,16,0
456,0,1.25,46.8,27.69,0,0,0,9,0
457,0,1.25,-35.4,27.62,0,0,0,7,0
458,2,1.26,99.0,27.69,2,0,0,15,0
459,1,1.26,-58.2,27.16,1,0,1,8,0
460,1,1.27,10.3,27.92,1,0,1,13,0
461,0,1.26,-2.8,27.39,0,0,0,8,0
462,0,1.25,-32.0,27.2,0,0,1,11,0
463,1,1.25,-33.4,27.63,1,0,0,6,0
464,4,1.26,181.6,27.72,4,0,0,20,0
465,1,1.25,118.4,27.76,1,0,0,10,0
466,0,1.24,-81.3,26.82,0,0,1,12,0
467,1,1.25,1.4,26.41,1,0,0,13,0
468,1,1.24,-2.7,26.09,1,0,0,7,1
469,1,1.25,13.3,25.72,1,0,0,12,1
470,3,1.25,143.9,26.15,3,0,0,13,1
471,0,1.25,-189.9,25.03,0,0,1,7,0
472,2,1.24,-361.3,22.58,2,0,1,5,0
473,2,1.24,53.4,23.47,2,0,0,10,0
474,6,1.25,144.0,22.85,1,1,0,9,0
475,0,1.24,-31.0,22.36,0,0,1,7,0
476,14,1.29,279.0,22.98,4,2,0,13,1
477,0,1.26,-99.9,21.31,0,0,0,9,0
478,1,1.26,59.5,21.42,1,0,0,8,0
479,0,1.21,41.2,20.67,0,0,1,16,0
480,5,1.23,130.4,21.52,0,1,0,12,1
481,0,1.23,-18.9,21.3,0,0,0,8,0
482,0,1.22,124.8,22.02,0,0,0,5,0
483,0,1.22,-78.7,21.35,0,0,0,17,1
484,1,1.21,57.6,22.83,1,0,0,8,0
485,11,1.26,332.0,24.99,1,2,0,14,1
486,0,1.26,-51.0,24.77,0,0,0,5,0
487,1,1.24,45.4,24.26,1,0,0,11,0
488,0,1.24,-179.7,22.98,0,0,0,8,0
489,0,1.24,144.8,24.02,0,0,0,12,1
490,0,1.24,-52.7,24.46,0,0,1,8,0
491,0,1.23,11.1,24.44,0,0,0,6,1
492,2,1.24,216.9,25.51,2,0,0,18,0
493,1,1.25,67.1,25.92,1,0,0,9,0
494,0,1.24,95.9,26.04,0,0,0,11,1
495,1,1.25,81.7,26.79,1,0,0,12,0
496,1,1.25,144.2,27.56,1,0,0,19,0
497,2,1.25,93.1,27.91,2,0,1,16,0
498,1,1.25,-131.5,27.15,1,0,0,6,0
499,0,1.24,-34.7,26.38,0,0,1,12,0
500,0,1.24,53.1,26.43,0,0,0,12,0
501,1,1.21,83.6,25.89,1,0,0,8,0
502,1,1.21,-45.6,25.32,1,0,0,8,1
503,0,1.2,-117.9,24.59,0,0,1,7,0
504,4,1.22,238.9,25.92,4,0,0,19,0
505,1,1.2,1.9,25.48,1,0,0,5,0
506,0,1.18,117.6,25.51,0,0,0,12,0
507,1,1.18,-276.6,23.97,1,0,1,6,0
508,0,1.18,-39.5,23.98,0,0,0,13,0
509,8,1.22,251.8,25.54,3,1,0,12,0
510,0,1.22,-14.7,25.13,0,0,0,7,0
511,1,1.22,-9.0,25.36,1,0,0,9,0
512,0,1.22,9.0,24.92,0,0,0,14,1
513,0,1.21,-97.3,23.59,0,0,1,5,0
514,0,1.21,-33.4,23.82,0,0,1,11,0
515,1,1.21,43.2,23.86,1,0,1,10,0
516,0,1.21,130.5,25.16,0,0,0,20,0
517,0,1.2,-27.0,24.83,0,0,1,11,0
518,0,1.2,-39.5,24.45,0,0,1,10,0
519,0,1.2,-3.4,23.8,0,0,0,8,0
520,6,1.23,255.7,25.52,1,1,0,17,0
521,1,1.23,-38.9,25.42,1,0,1,10,0
522,3,1.24,201.4,26.18,3,0,0,19,0
523,1,1.25,-12.8,25.97,1,0,1,11,0
524,1,1.25,85.4,26.22,1,0,0,11,1
525,5,1.26,6.8,25.64,0,1,0,5,0
526,0,1.26,-111.0,25.61,0,0,1,5,0
527,1,1.27,9.0,25.84,1,0,0,11,1
528,2,1.27,169.4,25.84,2,0,0,10,0
