variant,round,metric,value
task1_bombs,51.0,coins,10.7451
task1_bombs,52.0,coins,10.7692
task1_bombs,53.0,coins,10.566
task1_bombs,54.0,coins,10.537
task1_bombs,55.0,coins,10.4
task1_bombs,56.0,coins,10.3571
task1_bombs,57.0,coins,10.2281
task1_bombs,58.0,coins,10.1897
task1_bombs,59.0,coins,10.1186
task1_bombs,60.0,coins,10.2667
task1_bombs,61.0,coins,10.377
task1_bombs,62.0,coins,10.4677
task1_bombs,63.0,coins,10.5556
task1_bombs,64.0,coins,10.4688
task1_bombs,65.0,coins,10.4615
task1_bombs,66.0,coins,10.3636
task1_bombs,67.0,coins,10.2388
task1_bombs,68.0,coins,10.1176
task1_bombs,69.0,coins,10.1014
task1_bombs,70.0,coins,10.3429
task1_bombs,71.0,coins,10.4789
task1_bombs,72.0,coins,10.5556
task1_bombs,73.0,coins,10.411
task1_bombs,74.0,coins,10.5135
task1_bombs,75.0,coins,10.3733
task1_bombs,76.0,coins,10.5
task1_bombs,77.0,coins,10.6104
task1_bombs,78.0,coins,10.5513
