variant,round,metric,value
task1,1.0,coins,28.0
task1,2.0,coins,26.5
task1,3.0,coins,25.0
task1,4.0,coins,22.75
task1,5.0,coins,22.4
task1,6.0,coins,22.5
task1,7.0,coins,22.7143
task1,8.0,coins,22.75
task1,9.0,coins,22.4444
task1,10.0,coins,23.0
task1,11.0,coins,23.0909
task1,12.0,coins,23.1667
task1,13.0,coins,22.3846
task1,14.0,coins,22.2857
task1,15.0,coins,22.0
task1,16.0,coins,22.1875
task1,17.0,coins,22.5294
task1,18.0,coins,22.8889
task1,19.0,coins,23.0526
task1_1step,1.0,coins,16.0
task1_1step,2.0,coins,13.5
task1_1step,3.0,coins,18.0
task1_1step,4.0,coins,17.5
task1_1step,5.0,coins,17.2
task1_1step,6.0,coins,16.0
task1_1step,7.0,coins,17.1429
task1_1step,8.0,coins,18.25
task1_1step,9.0,coins,19.0
task1_1step,10.0,coins,18.2
task1_1step,11.0,coins,18.7273
task1_1step,12.0,coins,18.6667
task1_1step,13.0,coins,18.7692
task1_1step,14.0,coins,19.1429
task1_1step,15.0,coins,19.4667
task1_1step,16.0,coins,19.0625
task1_1step,17.0,coins,19.1176
task1_1step,18.0,coins,19.6111
task1_1step,19.0,coins,20.1053
task1_nosym,1.0,coins,19.0
task1_nosym,2.0,coins,21.0
task1_nosym,3.0,coins,20.0
task1_nosym,4.0,coins,20.75
task1_nosym,5.0,coins,20.6
task1_nosym,6.0,coins,21.3333
task1_nosym,7.0,coins,22.7143
task1_nosym,8.0,coins,22.875
task1_nosym,9.0,coins,21.8889
task1_nosym,10.0,coins,21.8
task1_nosym,11.0,coins,22.0909
task1_nosym,12.0,coins,22.5833
task1_nosym,13.0,coins,22.6923
task1_nosym,14.0,coins,22.0714
task1_nosym,15.0,coins,22.0
task1_nosym,16.0,coins,22.5
task1_nosym,17.0,coins,23.1765
task1_nosym,18.0,coins,23.3889
task1_nosym,19.0,coins,23.6316
task1_nosym,20.0,coins,24.1
task1_noshaping,1.0,coins,24.0
task1_noshaping,2.0,coins,23.0
task1_noshaping,3.0,coins,23.0
task1_noshaping,4.0,coins,23.75
task1_noshaping,5.0,coins,21.8
task1_noshaping,6.0,coins,22.1667
task1_noshaping,7.0,coins,21.0
task1_noshaping,8.0,coins,21.125
task1_noshaping,9.0,coins,21.2222
task1_noshaping,10.0,coins,20.9
task1_noshaping,11.0,coins,21.0909
task1_noshaping,12.0,coins,21.1667
task1_noshaping,13.0,coins,20.9231
task1_noshaping,14.0,coins,22.0
task1_noshaping,15.0,coins,23.0
task1_noshaping,16.0,coins,23.4375
task1_noshaping,17.0,coins,23.5882
task1_noshaping,18.0,coins,24.0
task1_noshaping,19.0,coins,24.1579
task1_linear,1.0,coins,29.0
task1_linear,2.0,coins,24.0
task1_linear,3.0,coins,19.0
task1_linear,4.0,coins,18.0
task1_linear,5.0,coins,18.6
task1_linear,6.0,coins,19.8333
task1_linear,7.0,coins,19.7143
task1_linear,8.0,coins,20.125
task1_linear,9.0,coins,21.0
task1_linear,10.0,coins,20.6
task1_linear,11.0,coins,21.5455
task1_linear,12.0,coins,22.8333
task1_linear,13.0,coins,22.5385
task1_linear,14.0,coins,23.1429
task1_linear,15.0,coins,23.2667
task1_linear,16.0,coins,23.4375
task1_linear,17.0,coins,23.4706
task1_linear,18.0,coins,23.5
task1_linear,19.0,coins,23.2632
task1_linear,20.0,coins,23.3
task1_bombs,1.0,coins,5.0
task1_bombs,2.0,coins,5.0
task1_bombs,3.0,coins,10.0
task1_bombs,4.0,coins,7.75
task1_bombs,5.0,coins,7.6
task1_bombs,6.0,coins,6.8333
task1_bombs,7.0,coins,6.1429
task1_bombs,8.0,coins,8.875
task1_bombs,9.0,coins,8.3333
task1_bombs,10.0,coins,10.4
task1_bombs,11.0,coins,9.4545
task1_bombs,12.0,coins,10.1667
task1_bombs,13.0,coins,9.6923
task1_bombs,14.0,coins,9.1429
task1_bombs,15.0,coins,10.2
task1_bombs,16.0,coins,9.875
task1_bombs,17.0,coins,10.4706
task1_bombs,18.0,coins,11.6111
task1_bombs,19.0,coins,11.2632
task1_bombs,20.0,coins,10.85
task1_bombs,21.0,coins,10.7619
task1_bombs,22.0,coins,10.9091
task1_bombs,23.0,coins,11.4783
task1_bombs,24.0,coins,11.375
task1_bombs,25.0,coins,10.96
task1_bombs,26.0,coins,10.8846
task1_bombs,27.0,coins,10.8519
task1_bombs,28.0,coins,11.25
task1_bombs,29.0,coins,11.8621
task1_bombs,30.0,coins,11.5
task1_bombs,31.0,coins,11.2903
task1_bombs,32.0,coins,11.875
task1_bombs,33.0,coins,11.7273
task1_bombs,34.0,coins,11.7647
task1_bombs,35.0,coins,11.7714
task1_bombs,36.0,coins,11.9722
task1_bombs,37.0,coins,11.8378
task1_bombs,38.0,coins,11.7895
task1_bombs,39.0,coins,11.6667
task1_bombs,40.0,coins,11.4
task1_bombs,41.0,coins,11.4634
task1_bombs,42.0,coins,11.8095
task1_bombs,43.0,coins,11.5814
task1_bombs,44.0,coins,11.4545
task1_bombs,45.0,coins,11.4889
task1_bombs,46.0,coins,11.3696
task1_bombs,47.0,coins,11.1702
task1_bombs,48.0,coins,10.9792
task1_bombs,49.0,coins,10.8571
task1_bombs,50.0,coins,10.64
